,clusters-labels,full-names,gender,global-frequency,distribution_rank,concentration_rank
Corey ,"[3, 0]","['Corey Street,', 'Corey Street,']",male,3,2,1
Freeman ,"[0, 3, 2]","['Freeman Avenue,', 'Freeman Place,', 'Freeman Street,']",male,3,3,1
Hawthorne ,"[3, 1, 0]","['Hawthorne Place,', 'Hawthorne Street,', 'Hawthorne Street,']",male,3,3,1
Hobson ,"[2, 0, 4]","['Hobson Square,', 'Hobson Street,', 'Hobson Street,']",male,3,3,1
Johnson ,"[1, 0]","['Johnson Avenue,', 'Johnson Street,']",male,3,2,1
Payson ,"[2, 3]","['Payson Avenue,', 'Payson Place,']",male,3,2,1
Perkins ,"[0, 3, 1]","['Perkins Avenue,', 'Perkins Street,', 'Perkins Street,']",male,3,3,1
Radcliffe ,"[0, 4, 1]","['Radcliffe Road,', 'Radcliffe Road,', 'Radcliffe Street,']",male,3,3,1
South ,"[1, 3, 0, 4]","['South Street,', 'South Street,', 'South Street,', 'South Street,']",male,3,4,1
Waverly ,"[0, 1, 4]","['Waverly Road,', 'Waverly Street,', 'Waverly Street,']",male,3,3,1
Winslow ,"[0, 1]","['Winslow Street,', 'Winslow Street,']",male,3,2,1
Elm ,"[3, 2, 1, 0]","['Elm Street,', 'Elm Street,', 'Elm Street,', 'Elm Street,']",male,4,4,1
